اقدسيه,روبروي ميني سيتي,35.594122,51.442771
اميرآباد,فاطمي,35.720151,51.405977
بلوارفردوس,شقايق جنوبي,35.627316,51.375098
شريعتي,قدوسي(قصر),35.727657,51.450648
سعادت آباد,خ 16,35.780855,51.380003
جمالزاده,اخوان,35.729792,51.401256
پاسداران,مازيار,35.786548,51.470537
پاسداران,سروستان 1,35.807535,51.509916
اميرآباد,خ 11,35.714006,51.389482
جردن,صداقت,35.775216,51.416679
بخارست,خ 6,35.732896,51.416698
عباس آباد,سرافراز(درياي نور),35.72622,51.420955
شيراز,بر خيابان,35.48897,51.21422
فرمانيه,نوريان,35.787271,51.45903
شريعتي,(اسدی)واعظي ,35.670932,51.438727
ميرداماد,رازان جنوبي,35.760725,51.440484
سهروردی شمالی,مهناز(صابونچي),35.73329,51.439994
شهرك غرب,فاز1,35.798545,51.408705
شهرك غرب,فلامك شمالي,35.756414,51.375859
ديباجي,بر خيابان,35.786877,51.459847
میدان نور,پيامبر شرقي,35.737058,51.317817
بلوارفردوس,پرواز جنوبي,35.722997,51.320232
نياوران,جشن,35.813473,51.457984
دولت,نرسيده به به بلوار كاوه,35.704722,51.360347
جردن,ليدا,35.78304,51.424176
سهروردی شمالی,شريف,35.73329,51.439994
ستارخان,بازار سنتي ستارخان,35.72125,51.36277
وزراء,بر وزرا(خالد اسلامبولي),35.737354,51.412513
سعادت آباد,شهرك بهرود,35.786327,51.381104
یوسف آباد,بر خيابان,35.730861,51.403369
سهروردی شمالی,سورنا(خليل حسيني),35.728321,51.433836
فرمانيه,تقاطع كامرانيه,35.68353,51.402462
جردن,ناهيد غربي,35.734144,51.342074
جنت آباد,عسگري,35.757851,51.300434
شهران,بالاتر از فلكه دوم,35.766454,51.289117
جنت آباد,كبيرزاده,35.726391,51.38436
جنت آباد,بعثت,35.756002,51.300752
جنت آباد,تقاطع كاشاني,35.740306,51.303706
اشرفي اصفهاني,ردائي,35.660742,51.356945
آل احمد,پل آزمايش,35.692782,51.344387
جنت آباد,نبش خ 4,35.760121,51.30737
آل احمد,نويسندگان,35.692998,51.344006
نياوران,همايون,35.815922,51.470221
ستارخان,ضلع شمال غربي پل,35.72125,51.36277
سعادت آباد,نبش خ 1,35.789442,51.387457
قيطريه,سهيل,35.711633,51.365462
سوهانک,لاله,35.807053,51.526891
کاشانی,شهرك راه آهن,31.867457,54.346543
آجودانيه,خ 13,35.802476,51.470221
محموديه,جوانان,35.792169,51.409126
شمس آباد,ميدان مريم,35.804361,51.525805
جردن,شاهرخ,35.71879,51.428335
ژاندارمري,فرزانگان,35.727429,51.345519
فرمانيه,نرسيده به ميدان نارون,35.735852,51.354465
ازگل,نوبهار جنوبي,35.789395,51.512379
لواسان,نرسيده به ميدان نارون,35.820326,51.625485
ستارخان,استوار,35.709467,51.36316
شمس آباد,ريحاني,35.648464,51.327216
آجودانيه,بر خيابان,35.802476,51.453292
شهرك غرب,فاز3,35.756414,51.375859
اميرآباد,بين فرصت و نصرت,35.47543,49.053303
پاسداران,اخوان,35.785574,51.436129
دولت,عين آبادي,32.800717,51.686931
ستارخان,4 راه خسرو,35.703675,51.362744
کريمخان,بر كريمخان,35.715212,51.418011
میدان نور,حكيم غرب,35.535413,51.214582
نياوران,نخجوان,35.814823,51.444084
کاشانی,ابراهيمي شمالي,35.727468,51.311528
نياوران,نبش كامرانيه,35.802476,51.453292
جمالزاده,بر خيابان,35.802476,51.453292
سعادت آباد,خ 28 غربي,35.779945,51.37547
سعادت آباد,خ 27,35.779945,51.37547
کاشانی,آلاله,35.563493,51.228146
فرمانيه,نارنجستان 8,35.798097,51.47725
شهرك غرب,ارغوان غربي,35.787107,51.379541
ولنجك,جنب دانشگاه,35.806246,51.402068
کاشانی,شقايق,35.735601,51.307767
ميرداماد,ساساني پور,35.763371,51.409068
ژاندارمري,آرش,36.272613,49.986047
نياوران,نرسيده به مژده,35.812446,51.450112
فرشته,كرمعلي رضائي,35.764805,51.308363
جردن,كرانه,35.782429,51.418285
جردن,ناهيد شرقي,35.78304,51.424176
اميرآباد,روبروي پمپ بنزين,35.47543,49.053303
شريعتي,بالاتر از اسدي,35.68625,51.402503
یوسف آباد,خ 38,35.73584,51.405808
عباس آباد,ميدان تختي,35.730376,51.427021
اميرآباد,خ 9,35.47543,49.053303
فرمانيه,بر فرمانيه,35.792572,51.472492
بخارست,خ 13,35.732519,51.416866
تجريش,جعفر آباد,35.786789,51.451922
نياوران,كاشانك,35.812446,51.450112
تجريش,پاساژ كيش,35.786789,51.451922
ستارخان,آزاده,35.72125,51.36277
پاسداران,فرخي يزدي,35.758883,51.458209
اميرآباد,خ 10,35.723283,51.388423
نياوران,زماني,35.812446,51.450112
شريعتي,يزدانيان,35.68625,51.402503
سعادت آباد,خ 18,35.491333,51.215252
يخچال,شمس,35.65773,51.317536
سعادت آباد,صدف,35.761152,51.454106
جردن,شبنم,35.773339,51.315138
دربند,بالاتر از ميدان ,35.823329,51.425052
ميني سيتي,لاله,35.738326,51.592384
مجيديه,تقاطع رسالت,35.7402417,51.4666986
جنت آباد,بهارستان 10,35.677098,51.405701
گيشا,پيروزي غربي,35.758984,51.365656
بلوار کشاورز,بر بلوار,35.708463,51.395332
شمس آباد,مريم,35.790331,51.47201
مجيديه,لاهيجاني غربي,35.655314,51.324391
شريعتي,روبروي ملك,35.754249,51.448537
کاشانی,تراكمه,35.747436,51.285974
سعادت آباد,ايثار شمالي,35.786327,51.381104
-,شهرزيبا,35.746384,51.292073
ستارخان,رحيمي اصل,35.72125,51.36277
بهارشيراز,بر خيابان,35.717325,51.433892
اشرفي اصفهاني,اتوبان حكيم,35.745439,50.947289
منظريه,طبيب زاده,35.784345,51.45556
الهيه,پائين تر از 4 راه حسابي,35.800063,51.433925
جنت آباد,بهارستان 7,35.726391,51.38436
اشرفي اصفهاني,بالاتر از اتوبان حكيم,35.745439,50.947289
جنت آباد,ايرانشهر جنوبي,35.713298,51.419393
ستارخان,پاك جنوبي,35.72125,51.36277
اشرفي اصفهاني,گلستان 16,35.6539,51.477528
جنت آباد,لاله شرقي,35.72614,51.336386
اشرفي اصفهاني,22 بهمن,35.632262,51.22117
پونك,35 متري گلستان,35.524386,51.151536
جنت آباد,لاله غربي,35.752299,51.405514
اشرفي اصفهاني,زارع,35.782254,51.44597
اشرفي اصفهاني,صفاريان,35.745439,50.947289
جنت آباد,خ 10,35.726391,51.38436
اقدسيه,شهرك لاله,35.74281,51.281008
جنت آباد,قائم,35.726391,51.38436
ستارخان,باقرخان,35.677855,51.442382
پونك,خ 5,35.761113,51.339152
کاشانی,براتلو,35.747436,51.285974
بلوارفردوس,باصفاي جنوبي,35.631723,51.351463
کاشانی,نرسيده به ستاري,35.747436,51.285974
شريعتي,ساحل,35.738758,51.44617
گيشا,بر خيابان,35.733819,51.377536
بلوارفردوس,ورزي,35.729517,51.309057
ظفر,برخيابان,35.767495,51.422423
سعادت آباد,نبش خ 21 غربي,35.786327,51.381104
ستارخان,بلوار صالحي,35.706883,51.345486
بخارست,خ 11,35.735885,51.415434
شهرك آزمايش,اطاعتي جنوبي,35.73167,51.362127
مرزداران,دانش,35.714717,51.407046
زعفرانيه,پيراسته,35.796658,51.404938
الهيه,عظيمي,35.790246,51.428333
نياوران,گل سنگ,35.813933,51.445069
سعادت آباد,كوهستان,35.816114,51.411926
-,كردان,35.634855,51.044519
محموديه,ميرشريفي,35.79458,51.453558
ستارخان,عرب نجفي,35.72125,51.36277
کاشانی,جهاداكبر,35.747436,51.285974
اشرفي اصفهاني,گلستان 4,35.745439,50.947289
شريعتي,اشراقي,35.739685,51.446383
الهيه,تختي,35.868097,50.852136
سعادت آباد,خ 1 غربي,32.622345,51.668175
سعادت آباد,بهرود,35.791511,51.358127
کاشانی,مجاهد كبير,35.747436,51.285974
فرمانيه,سليماني,35.761738,51.481274
ژاندارمري,پاس فرهنگيان,35.624524,51.38715
مجيديه,پائين تر از ميدان ملت,35.655314,51.324391
صدر,دستور شمالي,35.80818,51.421489
لویزان,فرشادي,35.784531,51.495627
کامرانيه جنوبي,بر خيابان,35.798934,51.449285
فرمانيه,سنبل,35.792572,35.792572
نياوران,پورابتهاج,35.814002,51.478194
جنت آباد,بهارستان 18,35.7647,51.301506
شهران,بالاتر از فرهنگسراي معرفت,35.732968,51.500706
شريعتي,سليم,35.68625,51.402503
اشرفي اصفهاني,خان بابائي,35.745439,50.947289
اشرفي اصفهاني,خ 10,35.745439,50.947289
کردستان,برج هاي ASP,35.748234,51.402707
اوين,سوري,35.785386,51.388589
ولنجك,بر خيابان,35.806246,51.402068
ميرداماد,ميدان جوانان,35.763371,51.409068
جردن,مهيار,35.779644,51.418116
اشرفي اصفهاني,گلستان 29,35.694263,51.242445
اشرفي اصفهاني,پارك,35.726837,51.184918
جنت آباد,نرسيده به 4 باغ,35.748902,51.299698
اشرفي اصفهاني,البرز,35.745439,50.947289
اشرفي اصفهاني,بلوار عدل,35.760356,51.330399
شريعتي,قهرماني,35.725826,51.487189
پونك,اركيده,35.771546,51.329699
شهران,خ 5 شرقي,35.732968,51.500706
شريعتي,حميد,35.661332,51.428018
سعادت آباد,خ 21,35.811596,51.402293
دولت,حسام عراقي,35.704722,51.360347
جردن,كيان,35.753736,51.415664
شهران,نيلوفر جنوبي,35.755956,51.290913
اقدسيه,شهرك نفت,35.594122,51.442771
ستارخان,كوثر 3(نمازي سوم),51.370206,51.370206
اقدسيه,سپند,35.711592,51.417976
اقدسيه,مهربان,35.699837,51.380631
اميرآباد,شهريور,35.704413,51.360657
مجيديه,بلوار بيژن,35.758778,51.442566
خواجه نظام,سعيدي,35.706667,51.436937
-,پيچ شميران,35.693124,51.417835
بلوار کشاورز,پيام آوران ,35.757711,51.311582
جنت آباد,بهارستان 30,35.776316,51.307715
-,رامسر,35.703691,51.422873
نياوران,اقبال,35.774512,51.436598
قيطريه,دستور شمالي,35.793655,51.451165
سعادت آباد,ياشار,35.786327,35.786327
میدان نور,لاله شرقي,35.707414,51.403794
دروس,راستوان,35.770637,51.455881
اميرآباد,خ 16,35.727562,51.388118
سعادت آباد,خ 31 غربي,32.622345,51.668175
سعادت آباد,خ 14,35.781464,51.377896
وزراء,خ 32,35.734868,51.413299
اميرآباد,خ 12,35.681462,50.79245
بخارست,خ 12,35.732519,51.416866
فرمانيه,مهماندوست,35.729088,51.400854
پاسداران,بهارستان 8,35.787866,51.472235
قيطريه,روبروي پارك,35.793655,51.451165
شهرك غرب,ميدان بوستان,35.709298,51.353853
سعادت آباد,ميدان شهرداري,35.780217,51.367667
پونك,بلوار تعاون,35.706234,51.22316
سردارجنگل,35متري گلستان,35.759578,51.304252
اختياريه,صفا,35.783926,51.464405
کامرانيه شمالی,معصومي,35.79763,51.459497
پاسداران,بهارستان سوم,35.782711,51.467831
میدان نور,نرسيده به شاهين,35.707414,51.403794
ستارخان,گلاب,35.71295,51.368253
عباس آباد,بر خيابان,35.730376,51.427021
فرشته,گلنار,35.764805,51.308363
بلوارفردوس,باصفاي شمالي,35.631723,51.351463
دارآباد,پورابتهاج,35.818722,51.491358
دزاشیب,روبروي مسجد اميرالمومنين,35.777179,51.452552
جردن,چهرازي,35.772212,51.415986
شريعتي,ميدان قدس,35.804849,51.434094
تجريش,طباطبائي پور,35.809685,51.431121
پاسداران,بوستان 10,35.788966,51.498475
اقدسيه,موحد دانش,35.561177,51.556191
ميرداماد,كازرون,35.758889,51.433113
شهرآراء,كيا(منصوري),35.714149,51.371906
سعادت آباد,خ 13 (حسين كيان),35.786327,51.381104
اميرآباد,بر خيابان,35.723063,51.370173
شريعتي,بالاتر از ظفر,35.738758,51.44617
شريعتي,پيچ شميران,35.693124,51.417835
یوسف آباد,خ 68,35.748058,51.403898
پونك,خوش طينت,35.753905,51.330174
شهران,همت غرب,35.752095,51.347322
جنت آباد,بهارستان 4,35.765439,51.304918
شهران,بر خيابان,35.776208,51.444693
جنت آباد,بهارستان 11,35.776316,51.307715
اميرآباد,طباطبائي,35.737734,51.432704
اشرفي اصفهاني,گلستان 20 شرقي,35.745439,50.947289
اشرفي اصفهاني,گلستان 21,35.749198,50.943262
نامجو,كرانه,35.793055,50.997369
اشرفي اصفهاني,حيدري,35.74878,50.945258
-,استادمعين,35.693051,51.345961
شريعتي,نبش پيروز,35.756407,51.447925
اميرآباد,مريخ,35.737964,51.432669
ديباجي جنوبي,آزاد,35.754108,51.447174
میدان نور,لاله غربي,35.707414,51.403794
قيطريه,مهر,35.793655,51.451165
تجريش,3 راه نياوران,35.807249,51.428949
جردن,جهان كودك,35.78304,51.424176
سعادت آباد,خ 32,35.773435,51.378231
محموديه,نبش مهر,35.79458,51.453558
سعادت آباد,خ 38 غربي,35.772129,51.381449
کاشانی,شاهين شمالي,35.747436,51.285974
نياوران,بوكان,35.783393,51.464019
نياوران,محمدعلي صادقي,35.782157,51.463911
نامجو,4 راه عظيم پور,35.793055,50.997369
مجيديه,زندي,35.654737,51.32463
-,قزوين,35.668485,51.375505
شريعتي,گروسي,35.75726,51.447561
خواجه عبدالله,بني هاشم شمالي,35.744478,51.455157
یوسف آباد,خ 1/19,35.735195,51.397242
اميرآباد,خ 14,35.739584,51.430351
اختياريه,بر اختياريه,35.784402,51.464727
نياوران,جمال آباد,35.782052,51.464019
دربند,ميدان دربند,35.782199,51.374677
شريعتي,بالاتر از 4 راه قصر(قدوسي),35.756372,51.447947
وليعصر,نرسيده به تجريش,35.806872,51.426511
دربند,خليلي,35.822619,51.426489
جردن,سرو غربي,35.783166,51.423142
شهرك غرب,گلستان 1,35.754004,51.379261
نياوران,جبلي,35.783428,51.46198
پاسداران,بهارستان 5,35.780259,51.46743
تجريش,سليمان زاده,35.80207,51.432138
جمالزاده,خوشنگه,35.698418,51.389067
شريعتي,جنب بولينگ عبدو,35.756285,51.447711
کاشانی,لاله شرقي,35.742667,51.281006
آل احمد,قبل از پمپ گاز,35.69251,51.344864
جنت آباد,بهارستان 24,35.735857,51.377694
اشرفي اصفهاني,اباذر,35.747561,50.945194
جنت آباد,ايثارگران,35.728646,51.383939
